tSec,x,y,z,vx,vy,vz,
0,-21081956.1373149,36515083.372196,52036.0058605646,-2662.73591167696,-1537.33399910928,3.79454873304593,
60,-21241517.979581,36422494.1131053,52263.1872134576,-2655.98367868186,-1548.96971383051,3.77815076816098,
120,-21400673.1618306,36329207.5995722,52489.3824844135,-2649.18059941505,-1560.57577677858,3.76167938680382,
180,-21559418.6371894,36235225.6173709,52714.5872777578,-2642.32680410726,-1572.15196579351,3.74513489967816,
240,-21717751.366626,36140549.9655878,52938.7972165013,-2635.4224239597,-1583.69805928729,3.72851761892286,
300,-21875668.3190105,36045182.4565874,53162.0079424263,-2628.46759114153,-1595.21383624816,3.71182785810602,
360,-22033166.4711717,35949124.9159777,53384.2151161717,-2621.46243878731,-1606.69907624474,3.69506593221909,
420,-22190242.8079555,35852379.1825747,53605.4144173184,-2614.40710099446,-1618.15355943036,3.67823215767094,
480,-22346894.3222827,35754947.1083678,53825.6015444745,-2607.30171282072,-1629.57706654718,3.66132685228184,
540,-22503118.0152061,35656830.5584841,54044.772215359,-2600.14641028151,-1640.9693789304,3.64435033527748,
600,-22658910.895968,35558031.4111526,54262.922166887,-2592.94133034734,-1652.33027851246,3.62730292728296,
660,-22814269.9820577,35458551.5576683,54480.0471552526,-2585.68661094121,-1663.6595478272,3.61018495031671,
720,-22969192.2992683,35358392.9023563,54696.1429560128,-2578.38239093593,-1674.95697001399,3.59299672778438,
780,-23123674.8817538,35257557.3625346,54911.2053641703,-2571.02881015151,-1686.22232882192,3.57573858447273,
840,-23277714.7720856,35156046.8684784,55125.2301942562,-2563.62600935239,-1697.4554086139,3.55841084654352,
900,-23431309.0213093,35053863.3633821,55338.2132804128,-2556.17413024486,-1708.6559943708,3.54101384152729,
960,-23584454.6890011,34951008.8033229,55550.1504764747,-2548.67331547425,-1719.82387169553,3.52354789831715,
1020,-23737148.8433239,34847485.1572231,55761.0376560511,-2541.12370862222,-1730.95882681718,3.50601334716258,
1080,-23889388.5610838,34743294.4068122,55970.8707126064,-2533.52545420406,-1742.06064659507,3.48841051966315,
1140,-24041170.9277854,34638438.5465892,56179.6455595417,-2525.87869766586,-1753.12911852287,3.47073974876225,
1200,-24192493.0376882,34532919.5837843,56387.3581302746,-2518.18358538172,-1764.16403073258,3.45300136874071,
1260,-24343351.9938617,34426739.5383206,56594.0043783196,-2510.44026465102,-1775.16517199867,3.43519571521053,
1320,-24493744.9082412,34319900.4427753,56799.5802773675,-2502.64888369551,-1786.13233174205,3.41732312510847,
1380,-24643668.9016828,34212404.342341,57004.0818213653,-2494.80959165653,-1797.06530003413,3.39938393668964,
1440,-24793121.1040188,34104253.2947861,57207.5050245944,-2486.92253859211,-1807.96386760083,3.38137848952109,
1500,-24942098.6541122,33995449.3704161,57409.8459217495,-2478.98787547414,-1818.82782582656,3.36330712447535,
1560,-25090598.6999117,33885994.6520333,57611.1005680165,-2471.00575418545,-1829.65696675821,3.34517018372396,
1620,-25238618.3985063,33775891.2348972,57811.2650391507,-2462.97632751691,-1840.45108310914,3.3269680107309,
1680,-25386154.9161795,33665141.2266846,58010.3354315535,-2454.89974916448,-1851.20996826315,3.30870095024615,
1740,-25533205.4284637,33553746.7474489,58208.3078623501,-2446.77617372632,-1861.93341627837,3.29036934829903,
1800,-25679767.1201942,33441709.9295797,58405.1784694654,-2438.60575669976,-1872.62122189127,3.27197355219168,
1860,-25825837.1855632,33329032.917762,58600.9434117004,-2430.38865447839,-1883.27318052054,3.25351391049241,
1920,-25971412.8281729,33215717.8689352,58795.5988688083,-2422.12502434902,-1893.88908827099,3.23499077302905,
1980,-26116491.2610898,33101766.9522517,58989.1410415694,-2413.81502448867,-1904.46874193749,3.2164044908823,
2040,-26261069.7068976,32987182.3490351,59181.5661518663,-2405.45881396158,-1915.01193900881,3.19775541637903,
2100,-26405145.3977503,32871966.2527392,59372.8704427583,-2397.05655271611,-1925.5184776715,3.17904390308555,
