tSec,x,y,z,vx,vy,vz,Unnamed: 7
0,42014290.0,0.0,3681524.0,0.0,3066.0,0.0,
60,42013888.1590446,183959.417605983,3681488.78725397,-13.3946774507824,3065.97081244128,-1.1737561598487,
120,42012682.6437541,367915.324570474,3681383.14972668,-26.7891024938945,3065.88297879414,-2.34748902684277,
180,42010673.4768346,551864.202170738,3681207.0894784,-40.1830230719082,3065.73650065549,-3.5211765111464,
240,42007860.6961157,735802.531811872,3680960.60989477,-53.5761871358082,3065.53138068936,-4.69479652370105,
300,42004244.3545493,919726.795090823,3680643.71568675,-66.9683426492607,3065.26762262685,-5.86832697659975,
360,41999824.5202092,1103633.47386042,3680256.4128905,-80.3592375928817,3064.9452312661,-7.04174578346124,
420,41994601.2762896,1287519.05029338,3679798.70886735,-93.7486199685056,3064.56421247217,-8.21503085980424,
480,41988574.7211038,1471380.00694634,3679270.61230358,-107.136237803454,3064.12457317705,-9.3881601234216,
540,41981744.9680828,1655212.82682387,3678672.13321038,-120.521839154802,3063.62632137948,-10.5611114947545,
600,41974112.1457731,1839013.99344243,3678003.28292359,-133.905172113649,3063.06946614487,-11.7338628972667,
660,41965676.3978345,2022779.99089444,3677264.07410355,-147.285984809383,3062.45401760518,-12.9063922578184,
720,41956437.8830378,2206507.30391221,3676454.52073488,-160.66402541395,3061.77998695876,-14.0786775070407,
780,41946396.7752623,2390192.41793194,3675574.63812624,-174.039042146123,3061.0473864702,-15.2506965797095,
840,41935553.2634924,2573831.81915769,3674624.44291006,-187.410783275762,3060.25622947016,-16.4224274151195,
900,41923907.5518148,2757421.99462535,3673603.95304229,-200.778997128087,3059.40653035517,-17.5938479574584,
960,41911459.8594149,2940959.43226655,3672513.18780205,-214.143432087941,3058.49830458745,-18.7649361561806,
1020,41898210.4205732,3124440.62097263,3671352.16779132,-227.503836604055,3057.53156869464,-19.9356699663814,
1080,41884159.484661,3307862.05065855,3670120.91493463,-240.859959193315,3056.50634026963,-21.1060273491708,
1140,41869307.3161368,3491220.21232679,3668819.45247863,-254.211548445021,3055.42263797027,-22.2759862720471,
1200,41853654.1945411,3674511.59813124,3667447.8049917,-267.558353025158,3054.2804815191,-23.4455247092713,
1260,41837200.4144923,3857732.70144108,3666005.9983636,-280.900121680653,3053.07989170311,-24.61462064224,
1320,41819946.2856813,4040880.01690463,3664494.05980495,-294.23660324364,3051.82089037339,-25.7832520598599,
1380,41801892.1328666,4223950.0405132,3662912.0178468,-307.567546635721,3050.50350044485,-26.9513969589206,
1440,41783038.2958682,4406939.26966489,3661259.90234015,-320.892700872229,3049.12774589591,-28.119033344469,
1500,41763385.1295628,4589844.20322842,3659537.74445546,-334.211815066484,3047.69365176811,-29.2861392301819,
1560,41742933.0038769,4772661.34160687,3657745.57668208,-347.524638434056,3046.20124416579,-30.4526926387402,
1620,41721682.3037809,4955387.18680145,3655883.43282772,-360.830920297021,3044.65055025573,-31.6186716022016,
1680,41699633.4292827,5138018.24247527,3653951.34801789,-374.130410088222,3043.0415982667,-32.7840541623744,
1740,41676786.7954208,5320551.01401698,3651949.35869527,-387.422857355522,3041.37441748912,-33.9488183711902,
1800,41653142.8322573,5502982.00860451,3649877.50261913,-400.70801176606,3039.64903827461,-35.1129422910772,
1860,41628701.9848703,5685307.73526873,3647735.81886466,-413.985623110509,3037.86549203559,-36.2764039953333,
1920,41603464.713347,5867524.70495704,3645524.34782232,-427.255441307328,3036.02381124476,-37.4391815684987,
1980,41577431.4927755,6049629.43059701,3643243.13119715,-440.517216407012,3034.12402943471,-38.601253106729,
2040,41550602.8132365,6231618.42715995,3640892.21200806,-453.770698596347,3032.16618119742,-39.762596718168,
2100,41522979.1797957,6413488.21172447,3638471.6345871,-467.015638202659,3030.15030218373,-40.9231905233199,
2160,41494561.1124945,6595235.30353995,3635981.44457873,-480.251785698063,3028.07642910286,-42.083012655422,
2220,41465349.1463418,6776856.2240901,3633421.688939,-493.478891703712,3025.9445997219,-43.2420412608173,
2280,41435343.8313045,6958347.49715636,3630792.41593478,-506.696706994043,3023.75485286524,-44.4002544993265,
2340,41404545.7322983,7139705.64888133,3628093.67514295,-519.90498250102,3021.50722841401,-45.5576305446205,
2400,41372955.4291783,7320927.20783219,3625325.51744954,-533.103469318383,3019.20176730552,-46.7141475845921,
2460,41340573.5167288,7502008.70506401,3622487.99504887,-546.291918705887,3016.8385115327,-47.869783821728,
2520,41307400.6046537,7682946.67418308,3619581.16144265,-559.470082093544,3014.41750414344,-49.0245174734809,
2580,41273437.3175656,7863737.65141023,3616605.07143911,-572.637711085862,3011.93878924001,-50.1783267726409,
2640,41238684.2949757,8044378.17564402,3613559.78115203,-585.794557466086,3009.40241197843,-51.3311899677072,
2700,41203142.1912827,8224864.78852396,3610445.34799979,-598.940373200433,3006.8084185678,-52.4830853232593,
2760,41166811.6757617,8405194.0344937,3607261.83070442,-612.074910442326,3004.15685626966,-53.6339911203285,
2820,41129693.4325527,8585362.46086413,3604009.28929057,-625.197921536628,3001.44777339727,-54.7838856567691,
2880,41091788.1606495,8765366.61787648,3600687.78508453,-638.309159023878,2998.68121931496,-55.9327472476291,
2940,41053096.5738873,8945203.05876533,3597297.38071313,-651.408375644515,2995.85724443742,-57.0805542255212,
3000,41013619.4009308,9124868.33982165,3593838.14010273,-664.49532434311,2992.97590022891,-58.2272849409935,
3060,40973357.3852617,9304359.02045574,3590310.12847809,-677.569758272592,2990.03723920261,-59.3729177628999,
