tSec,x,y,z,vx,vy,vz,
0,24601877.3464735,34072181.20065,2155819.60820523,-2486.43589181934,1792.54382313831,-216.85560781935,
60,24452454.782541,34179405.4198065,2142787.56215468,-2494.30832102511,1781.59097503882,-217.545236453123,
120,24302561.299693,34285971.4188615,2129714.26285639,-2502.13316313435,1770.60318730654,-218.23071381253,
180,24152199.757803,34391877.1076029,2116599.95979377,-2509.91026336609,1759.58066558037,-218.912026344678,
240,24001373.0260056,34497120.4081776,2103444.90326118,-2517.63946779781,1748.52361619764,-219.58916057159,
300,23850083.9826451,34601699.2551337,2090249.34435939,-2525.32062336867,1737.43224619075,-220.26210309048,
360,23698335.5152231,34705611.595462,2077013.53499108,-2532.95357788267,1726.30676328374,-220.930840574037,
420,23546130.5203474,34808855.3886375,2063737.7278563,-2540.53818001181,1715.14737588885,-221.595359770697,
480,23393471.9036791,34911428.6066604,2050422.1764479,-2548.07427929927,1703.95429310308,-222.25564750492,
540,23240362.5798806,35013329.2340972,2037067.13504699,-2555.56172616252,1692.72772470474,-222.91169067747,
600,23086805.4725628,35114555.2681214,2023672.85871834,-2563.00037189652,1681.46788114996,-223.563476265682,
660,22932803.5142327,35215104.7185542,2010239.60330577,-2570.39006867674,1670.17497356922,-224.210991323739,
720,22778359.6462401,35314975.6079048,1996767.62542752,-2577.73066956236,1658.84921376383,-224.854222982946,
780,22623476.8187247,35414165.9714103,1983257.18247167,-2585.02202849934,1647.4908142024,-225.493158451995,
840,22468157.990563,35512673.8570762,1969708.53259141,-2592.26400032348,1636.09998801734,-226.127785017242,
900,22312406.1293142,35610497.3257154,1956121.93470044,-2599.4564407635,1624.67694900126,-226.758090042969,
960,22156224.2111672,35707634.4509883,1942497.64846825,-2606.59920644415,1613.22191160347,-227.384060971659,
1020,21999615.2208862,35804083.3194418,1928835.93431541,-2613.69215488919,1601.73509092632,-228.005685324257,
1080,21842582.1517573,35899842.0305484,1915137.05340892,-2620.73514452448,1590.21670272169,-228.622950700437,
1140,21685128.0055335,35994908.6967454,1901401.26765737,-2627.72803468096,1578.66696338731,-229.235844778869,
1200,21527255.792381,36089281.4434727,1887628.8397063,-2634.6706855977,1567.08608996317,-229.844355317481,
1260,21368968.5308241,36182958.4092123,1873820.03293337,-2641.56295842489,1555.47430012787,-230.44847015372,
1320,21210269.2476911,36275937.7455257,1859975.11144361,-2648.40471522679,1543.83181219499,-231.048177204814,
1380,21051160.9780584,36368217.6170922,1846094.34006461,-2655.19581898476,1532.15884510938,-231.643464468036,
1440,20891646.7651964,36459796.2017468,1832177.9843417,-2661.93613360019,1520.45561844351,-232.234320020957,
1500,20731729.6605134,36550671.6905173,1818226.31053319,-2668.62552389744,1508.72235239373,-232.820732021708,
1560,20571412.7235007,36640842.2876623,1804239.58560542,-2675.2638556268,1496.95926777662,-233.402688709235,
1620,20410699.0216766,36730306.2107074,1790218.077228,-2681.85099546738,1485.16658602522,-233.980178403555,
1680,20249591.6305308,36819061.6904831,1776162.05376888,-2688.38681103006,1473.34452918527,-234.553189506013,
1740,20088093.6334682,36907106.9711606,1762071.78428951,-2694.87117086034,1461.4933199115,-235.12171049953,
1800,19926208.1217531,36994440.3102886,1747947.53853988,-2701.30394444127,1449.61318146382,-235.685729948861,
1860,19763938.1944524,37081059.9788296,1733789.58695365,-2707.68500219628,1437.70433770357,-236.245236500842,
1920,19601286.9583794,37166964.2611956,1719598.2006432,-2714.01421549205,1425.76701308968,-236.800218884643,
1980,19438257.5280369,37252151.455284,1705373.65139467,-2720.29145664135,1413.80143267486,-237.350665912012,
2040,19274853.0255608,37336619.872513,1691116.21166305,-2726.51659890588,1401.80782210182,-237.896566477529,
2100,19111076.5806623,37420367.8378572,1676826.15456711,-2732.68951649905,1389.78640759935,-238.437909558846,
2160,18946931.3305716,37503393.6898822,1662503.75388451,-2738.81008458885,1377.73741597852,-238.974684216937,
2220,18782420.4199798,37585695.7807797,1648149.28404671,-2744.87817930055,1365.66107462878,-239.506879596338,
2280,18617547.000982,37667272.476402,1633763.02013401,-2750.89367771953,1353.55761151408,-240.034484925392,
2340,18452314.233019,37748122.1562964,1619345.23787048,-2756.85645789405,1341.42725516896,-240.557489516492,
2400,18286725.28282,37828243.2137393,1604896.21361891,-2762.76639883793,1329.27023469465,-241.075882766316,
2460,18120783.3243441,37907634.05577,1590416.22437578,-2768.62338053334,1317.08677975512,-241.589654156071,
2520,17954491.5387225,37986293.1032247,1575905.54776612,-2774.42728393351,1304.87712057316,-242.098793251729,
2580,17787853.1142001,38064218.7907691,1561364.46203849,-2780.17799096541,1292.64148792639,-242.603289704261,
2640,17620871.2460766,38141409.5669327,1546793.24605981,-2785.87538453245,1280.38011314333,-243.103133249878,
2700,17453549.1366485,38217863.8941408,1532192.17931026,-2791.51934851714,1268.09322809935,-243.59831371026,
2760,17285889.9951496,38293580.2487474,1517561.54187819,-2797.10976778378,1255.78106521273,-244.088820992789,
2820,17117897.0376925,38368557.1210682,1502901.61445488,-2802.64652818109,1243.44385744064,-244.574645090783,
2880,16949573.4872092,38442793.0154121,1488212.67832945,-2808.12951654481,1231.08183827505,-245.055776083725,
2940,16780922.5733919,38516286.4501135,1473495.01538367,-2813.55862070036,1218.69524173877,-245.532204137492,
3000,16611947.5326336,38589035.957564,1458748.90808675,-2818.93372946542,1206.28430238132,-246.00391950458,
3060,16442651.6079683,38661040.0842439,1443974.63949013,-2824.2547326525,1193.84925527492,-246.470912524335,
3120,16273038.0490113,38732297.3907535,1429172.4932223,-2829.52152107156,1181.39033601037,-246.933173623173,
3180,16103110.1118995,38802806.4518438,1414342.75348355,-2834.73398653248,1168.90778069295,-247.390693314807,
3240,15932871.059231,38872565.8564476,1399485.7050407,-2839.8920218477,1156.40182593834,-247.843462200468,
3300,15762324.1600051,38941574.2077097,1384601.63322189,-2844.99552083466,1143.87270886845,-248.291470969128,
3360,15591472.6895616,39009830.1230176,1369690.82391127,-2850.04437831837,1131.32066710731,-248.734710397713,
3420,15420319.9295209,39077332.2340309,1354753.56354372,-2855.03849013384,1118.74593877693,-249.17317135133,
3480,15248869.1677226,39144079.1867114,1339790.1390996,-2859.97775312865,1106.14876249309,-249.606844783479,
3540,15077123.6981653,39210069.6413528,1324800.83809935,-2864.8620651653,1093.5293773612,-250.035721736268,
3600,14905086.8209451,39275302.2726093,1309785.94859827,-2869.69132512375,1080.88802297208,-250.459793340629,
3660,14732761.8421947,39339775.7695254,1294745.75918111,-2874.46543290381,1068.22493939778,-250.87905081653,
3720,14560152.0740224,39403488.835564,1279680.55895673,-2879.18428942755,1055.54036718734,-251.293485473187,
3780,14387260.8344503,39466440.1886353,1264590.6375528,-2883.84779664173,1042.83454736255,-251.703088709274,
3840,14214091.4473528,39528628.5611247,1249476.28511033,-2888.45585752015,1030.10772141372,-252.10785201313,
3900,14040647.2423952,39590052.6999212,1234337.79227836,-2893.00837606602,1017.36013129543,-252.507766962968,
3960,13866931.5549715,39650711.3664448,1219175.45020854,-2897.50525731435,1004.59201942222,-252.90282522708,
4020,13692947.7261427,39710603.3366739,1203989.55054971,-2901.94640733422,991.803628664335,-253.29301856404,
4080,13518699.1025746,39769727.4011729,1188780.38544248,-2906.33173323117,978.995202343417,-253.678338822911,
4140,13344189.0364753,39828082.3651189,1173548.24751379,-2910.66114314944,966.166984228188,-254.058777943442,
4200,13169420.8855332,39885667.0483284,1158293.42987148,-2914.9345462743,953.31921853013,-254.434327956269,
4260,12994398.0128543,39942480.2852836,1143016.22609882,-2919.15185283429,940.452149899144,-254.804980983118,
4320,12819123.7868996,39998520.925159,1127716.93024903,-2923.31297410348,927.566023419199,-255.170729236996,
4380,12643601.581422,40053787.8318469,1112395.83683981,-2927.41782240373,914.66108460397,-255.531565022388,
4440,12467834.7754038,40108279.8839833,1097053.24084785,-2931.46631110687,901.737579392456,-255.887480735455,
4500,12291826.7529933,40161995.974973,1081689.4377033,-2935.45835463691,888.795754144597,-256.238468864223,
4560,12115580.903442,40214935.0130152,1066304.72328429,-2939.39386847225,875.835855636868,-256.584521988776,
4620,11939100.6210406,40267095.9211278,1050899.39391135,-2943.27276914783,862.858131057863,-256.925632781445,
4680,11762389.3050563,40318477.6371723,1035473.74634192,-2947.09497425728,849.862828003872,-257.261794006997,
4740,11585450.3596686,40369079.1138784,1020028.07776477,-2950.86040245506,836.850194474436,-257.59299852282,
4800,11408287.1939062,40418899.3188675,1004562.68579443,-2954.56897345856,823.820478867898,-257.91923927911,
4860,11230903.2215826,40467937.2346766,989077.868465664,-2958.22060805021,810.773929976937,-258.240509319054,
4920,11053301.8612322,40516191.8587824,973573.92422781,-2961.81522807959,797.710796984091,-258.556801779013,
4980,10875486.5360466,40563662.2036238,958051.15193925,-2965.35275646542,784.631329457266,-258.868109888701,
5040,10697460.6738101,40610347.2966253,942509.850861769,-2968.83311719769,771.535777345238,-259.174426971367,
5100,10519227.7068354,40656246.1802198,926950.32065495,-2972.25623533964,758.424390973135,-259.475746443969,
5160,10340791.0718991,40701357.9118706,911372.86137054,-2975.62203702976,745.297421037915,-259.772061817351,
5220,10162154.2101773,40745681.5640941,895777.773446817,-2978.93044948382,732.155118603825,-260.063366696422,
5280,9983320.56718059,40789216.2244813,880165.357702936,-2982.18140099684,718.997735097852,-260.34965478032,
5340,9804293.59268966,40831960.9957198,864535.915333274,-2985.37482094501,705.825522305161,-260.630919862592,
5400,9625076.74069002,40873914.9956148,848889.747901758,-2988.51063978766,692.638732364523,-260.907155831359,
5460,9445673.46930709,40915077.3571101,833227.157336187,-2991.58878906918,679.437617763724,-261.178356669485,
5520,9266087.24074104,40955447.2283096,817548.445922541,-2994.60920142091,666.222431334977,-261.444516454745,
5580,9086321.5212015,40995023.772497,801853.916299281,-2997.57181056303,652.993426250302,-261.705629359986,
