tSec,x,y,z,vx,vy,vz,
0,42014290,0,3681524,0,3066,0,
60,42013888.1589368,183959.41778271,3681488.7873637,-13.3946810341699,3065.97081833146,-1.17375250150408,
120,42012682.6433251,367915.325277206,3681383.15016574,-26.7891096110701,3065.88299057005,-2.34748170691868,
180,42010673.4758738,551864.203760482,3681207.09046658,-40.1830336732385,3065.7365183125,-3.5211655265394,
240,42007860.6944155,735802.534637349,3680960.61165205,-53.5762011716204,3065.53140422265,-4.69478187143901,
300,42004244.3519052,919726.799504461,3680643.71843326,-66.9683600698364,3065.26765203141,-5.86830865384164,
360,41999824.5164196,1103633.48021434,3680256.41684657,-80.3592583484512,3064.94526653672,-7.04172378749706,
420,41994601.2711558,1287519.05893939,3679798.71425343,-93.7486440092421,3064.56425360347,-8.21500518805484,
480,41988574.7144303,1471380.01823591,3679270.6193403,-107.136265079467,3064.12462016342,-9.38813077343856,
540,41981744.959677,1655212.84110812,3678672.14211851,-120.521869616133,3063.62637421514,-10.56107846422,
600,41974112.1354452,1839014.01107215,3678003.29392402,-133.905205710263,3063.06952482382,-11.7338261839932,
660,41965676.385398,2022780.01222004,3677264.08741731,-147.286021491165,3062.45408212122,-12.9063518597488,
720,41956437.8683092,2206507.32928373,3676454.53658312,-160.664065130699,3061.7800573055,-14.0786334222479,
780,41946396.7580608,2390192.44769902,3675574.65673021,-174.039084847543,3061.04746264103,-15.2506488063963,
840,41935553.2436405,2573831.85366957,3674624.46449113,-187.410828911459,3060.25631145826,-16.4223759516187,
900,41923907.529138,2757422.03423086,3673603.97782191,-200.779045647563,3059.40661815353,-17.5937928022321,
960,41911459.8337417,2940959.47731409,3672513.21600177,-214.143483440587,3058.49839818882,-18.7648773078207,
1020,41898210.3917351,3124440.67181016,3671352.19963277,-227.503890739145,3057.53166809159,-19.935607423609,
1080,41884159.4524926,3307862.10763357,3670120.95063951,-240.860016059998,3056.50644545451,-21.1059611108361,
1140,41869307.2804757,3491220.27578634,3668819.4922687,-254.211607992321,3055.42274893521,-22.2759163371294,
1200,41853654.1552281,3674511.66842189,3667447.84908879,-267.558415201962,3054.28059825602,-23.4454510768785,
1260,41837200.3713711,3857732.77890889,3666006.04698958,-280.900186435707,3053.08001420372,-24.6145433116089,
1320,41819946.2385987,4040880.10189518,3664494.11318172,-294.236670525544,3051.82101862918,-25.7831710303555,
