tSec,x,y,z,vx,vy,vz,
0,-5447560.8920494,-4956657.29193027,-2305805.59242059,3491.01298853073,-945.945974206399,-6211.50713325284,
60,-5229703.62136451,-5005645.40032587,-2674693.4805996,3768.99886624908,-686.572400668075,-6081.55125467727,
120,-4995517.27210431,-5039003.92537197,-3035211.52553477,4035.17382242302,-425.096289047915,-5932.58650228196,
180,-4745735.6294714,-5056631.32158013,-3386233.13521102,4288.70680324664,-162.338609578562,-5765.08740812041,
240,-4481141.12680816,-5058475.40856734,-3726661.94519391,4528.80767553517,100.876553521012,-5579.58672721146,
300,-4202562.31623981,-5044533.47704102,-4055435.25651629,4754.72968098274,363.724699397171,-5376.67355704133,
360,-3910871.19524832,-5014852.2322313,-4371527.35408826,4965.771773162,625.383632635222,-5156.99121707544,
420,-3606980.39978609,-4969527.57460248,-4673952.68913094,5161.28070214191,885.036142887972,-4921.23484922755,
480,-3291840.28183773,-4908704.22404545,-4961768.91347301,5340.65279576328,1141.87253718153,-4670.14891639364,
540,-2966435.88568082,-4832575.19533502,-5234079.7639827,5503.33557712686,1395.09308478337,-4404.52470300232,
600,-2631783.83048228,-4741381.12758659,-5490037.79508406,5648.82926668992,1643.91043893341,-4125.19773783646,
660,-2288929.10636843,-4635409.46952641,-5728846.95323255,5776.68816689845,1887.55202095542,-3833.04509827734,
720,-1938941.79132032,-4514993.52261341,-5949764.98483688,5886.52190212102,2125.26237280614,-3528.98254600282,
780,-1582913.70052099,-4380511.34506731,-6152105.66753898,5977.99642152583,2356.30542985581,-3213.96152077931,
840,-1221954.98222798,-4232384.52268567,-6335240.85943201,6050.83479174382,2579.96669333082,-2888.96608400193,
900,-857190.671281997,-4071076.81163262,-6498602.3629271,6104.81781201306,2795.55532337447,-2555.00978930509,
960,-489757.211999911,-3897092.65913704,-6641683.59876748,6139.78441757043,3002.40610595151,-2213.13249711385,
1020,-120798.962374853,-3710975.61058079,-6764041.08953624,6155.63191384184,3199.88127885039,-1864.39722065317,
1080,248535.312800854,-3513306.60968781,-6865295.75520999,6152.31611982396,3387.37228226879,-1509.88700488773,
1140,617095.954808101,-3304702.19446626,-6945134.02040655,6129.85141471672,3564.30148474467,-1150.70175703979,
