tSec,x,y,z,vx,vy,vz,
0,4581588.12490046,5156063.5616541,3459956.05455265,-4243.52855685847,62.9517021416524,5426.93730658945,
60,4319954.67194494,5151787.32802314,3779987.5732506,-4475.36176045047,-205.50919736399,5237.95831512313,
120,4044817.4874207,5131406.8782362,4088176.59749302,-4693.55654942008,-473.748944778244,5032.25717245501,
180,3757012.14777098,5094954.70840629,4383532.523536,-4897.5384925109,-741.125811688488,4810.26115908478,
240,3457408.47247543,5042501.98368547,4665090.96099467,-5086.74044578508,-1006.99228966445,4572.41708297558,
300,3146910.10954428,4974158.93332725,4931914.96327313,-5260.60183929838,-1270.69348488598,4319.19328978538,
360,2826454.15544071,4890075.34115534,5183096.38774596,-5418.56824834706,-1531.56554785337,4051.081976029,
420,2497010.79147986,4790441.12878043,5417757.4034294,-5560.091277827,-1788.93415299109,3768.60179099173,
480,2159582.91684143,4675487.02814899,5635052.16350537,-5684.62879852958,-2042.11304793307,3472.3007313769,
540,1815205.75567352,4545485.3377667,5834168.66034332,-5791.64558286765,-2290.40272495917,3162.75932754516,
600,1464946.41268424,4400750.75349686,6014330.77947409,-5880.61439407833,-2533.08927259677,2840.59407432936,
660,1109903.34961433,4241641.26208449,6174800.56412563,-5951.01752366102,-2769.44343056974,2506.46100531224,
720,751205.757900531,4068559.08617473,6314880.69832403,-6002.34870754619,-2998.71981274906,2161.05942117877,
780,390012.804385918,3881951.67089144,6433917.22128659,-6034.1154603568,-3220.15630737969,1805.13588523885,
840,27512.7211028254,3682312.69947839,6531302.49032901,-6045.84196240065,-3432.97372074924,1439.48850626541,
900,-335078.298132824,3470183.12065816,6606478.40804219,-6037.07263210548,-3636.37576505163,1064.97144997302,
960,-696517.438190178,3246152.16269248,6658939.9239087,-6007.37645905431,-3829.54953787064,682.499546873718,
1020,-1055536.88529781,3010858.30115726,6688238.81083751,-5956.35206551341,-4011.66659330971,293.052820198195,
1080,-1410845.77317561,2764990.14490457,6693987.70752945,-5883.63341528857,-4181.88458417532,-102.319190844286,
1140,-1761132.49103219,2509287.2082236,6675864.41428403,-5788.89618592442,-4339.34941431527,-502.493298153078,
1200,-2105067.39679638,2244540.53629547,6633616.43034266,-5671.86490917758,-4483.1980020716,-906.268771583918,
1260,-2441305.98062334,1971593.14391431,6567065.71484006,-5532.32083466719,-4612.5617475451,-1312.36377263204,
1320,-2768492.52521624,1691340.22235573,6476113.65302607,-5370.11067749178,-4726.57084210123,-1719.41210359983,
1380,-3085264.32155698,1404729.05399407,6360746.19779614,-5185.15635254979,-4824.35973959111,-2125.96072499727,
1440,-3390256.48897031,1112758.56310889,6221039.12321979,-4977.46530140073,-4905.07376894719,-2530.46854833001,
1500,-3682107.42278211,816478.443830223,6057163.31310678,-4747.14107220828,-4967.87657747014,-2931.30640289283,
1560,-3959464.88888274,516987.816330924,5869390.02561421,-4494.39437004607,-5011.9584514464,-3326.75787245155,
1620,-4220992.80619124,215433.354595522,5658096.07356892,-4219.55501725369,-5036.54563400721,-3715.02138004596,
1680,-4465378.77407471,-86993.1879015361,5423768.8175341,-3923.08461102098,-5040.91118894285,-4094.21453143333,
1740,-4691342.34311865,-389058.151274898,5167010.8253803,-3605.58858600066,-5024.38733328603,-4462.38071231906,
1800,-4897644.00382265,-689489.923474285,4888544.07148275,-3267.82806507732,-4986.37914675166,-4817.49815557653,
1860,-5083094.84956208,-986983.734065162,4589213.4929237,-2910.730380135,-4926.37863489258,-5157.49196317378,
1920,-5246566.85453541,-1280207.32307312,4269989.76256339,-2535.39898985879,-4843.98018521992,-5480.24881013291,
1980,-5387003.64198632,-1567807.53185772,3931971.04044568,-2143.11965301083,-4738.89487439827,-5783.63529070728,
2040,-5503431.64920015,-1848417.72659419,3576383.65391776,-1735.36859010491,-4610.96551965266,-6065.51639505482,
2100,-5594971.68842345,-2120666.23644282,3204581.41062456,-1313.81463751991,-4460.18365060345,-6323.78214418534,
2160,-5660850.39342529,-2383185.65297595,2818043.39646981,-880.3164979337,-4286.70198211857,-6556.37043222994,
2220,-5700411.63201577,-2634622.90029722,2418370.27677383,-436.922321285454,-4090.84786951653,-6761.29652281871,
2280,-5713127.5489463,-2873650.09370501,2007278.67490147,14.1421069217687,-3873.13507713206,-6936.68410889957,
2340,-5698609.0097301,-3098975.98993734,1586593.85226672,470.479803051015,-3634.27363407025,-7080.79413548737,
2400,-5656615.31565083,-3309358.13549726,1158240.22259216,929.546484317294,-3375.17773240047,-7192.06815050753,
2460,-5587062.1329673,-3503614.59080724,724229.740988456,1388.67457311552,-3096.95287964688,-7269.14661634848,
2520,-5490028.65210941,-3680636.14611784,286649.273421809,1845.08667733292,-2800.91751406343,-7310.90211200689,
2580,-5365762.87779642,-3839398.58063929,-152354.741610011,2295.94031417573,-2488.58237520819,-7316.47857613153,
2640,-5214684.51662466,-3978973.75449372,-590592.831590633,2738.35821081322,-2161.64080565707,-7285.29942014116,
2700,-5037386.10703585,-4098540.67887007,-1025850.15726149,3169.46631211412,-1821.96251639616,-7217.1031282622,
2760,-4834631.5942007,-4197394.67913035,-1455905.66750373,3586.42641404264,-1471.55956641427,-7111.94255751218,
2820,-4607353.1067262,-4274956.24984782,-1878551.60307339,3986.48178053021,-1112.58126748727,-6970.2102166656,
2880,-4356644.63482407,-4330777.72417149,-2291613.7215115,4366.99998603934,-747.26976729044,-6792.62968921054,
2940,-4083753.43581202,-4364548.17638728,-2692970.8606485,4725.5082285323,-377.937260471639,-6580.2451212342,
3000,-3790069.65997376,-4376096.83824928,-3080574.08579604,5059.72324914151,-6.93728145209754,-6334.41791258541,
3060,-3477113.79009231,-4365394.52676034,-3452465.08920951,5367.58943942016,363.370167521984,-6056.80309971749,
3120,-3146522.22834069,-4332552.91782547,-3806792.92935649,5647.29966083143,730.654196323491,-5749.32012183457,
3180,-2800031.96905591,-4277822.09619574,-4141829.19204566,5897.31215991474,1092.63702937291,-5414.1284064391,
3240,-2439464.10104378,-4201586.4811375,-4455981.37731604,6116.36817413237,1447.1234296619,-5053.59400965425,
3300,-2066706.36967826,-4104359.03099863,-4747804.09600502,6303.50407680406,1792.02693273684,-4670.24592612553,
3360,-1683695.71778591,-3986774.05862619,-5016007.81901858,6458.04443962069,2125.39462020538,-4266.74665707004,
3420,-1292400.76325588,-3849578.53411172,-5259465.66810445,6579.60784632627,2445.42553918467,-3845.84737705417,
3480,-894804.556066449,-3693622.45658308,-5477217.45834319,6668.09093400137,2750.48908573875,-3410.34633554214,
3540,-492888.48576209,-3519848.4248397,-5668471.44822289,6723.65056929976,3039.12968472645,-2963.05564579265,
3600,-88617.035754488,-3329280.95983473,-5832604.26084279,6746.69035298723,3310.07315054191,-2506.76959610217,
3660,316076.424956263,-3123015.50950055,-5969158.86360823,6737.84041419675,3562.22969931567,-2044.23426084208,
3720,719302.606022888,-2902207.3322649,-6077840.87761417,6697.93607715587,3794.69554767849,-1578.12077533185,
3780,1119227.8719919,-2668060.39585614,-6158513.27420341,6627.99279217216,4006.74960387159,-1110.9991539834,
3840,1514084.27617594,-2421816.66048304,-6211189.69696035,6529.18057209471,4197.84510498655,-645.319087194639,
3900,1902178.09571387,-2164745.89791261,-6236026.80561182,6402.79973101218,4367.60008390911,-183.396238383616,
3960,2281896.98318712,-1898136.08342723,-6233315.91067369,6250.25866987783,4515.7882415278,272.598501327718,
4020,2651715.75452107,-1623284.36255754,-6203473.99579739,6073.05062385442,4642.32813149685,720.648017430811,
4080,3010200.81469193,-1341488.73652641,-6147034.33385082,5872.73184747595,4747.27054793115,1158.89360304659,
4140,3356013.33855543,-1054040.51590231,-6064636.92609009,5650.90205267707,4830.78556567729,1585.63637157789,
4200,3687911.34933763,-762217.546238073,-5957018.92454553,5409.18700069977,4893.14982646608,1999.33659560056,
4260,4004750.79345519,-467278.197420742,-5825005.15423495,5149.22256310185,4934.73376997397,2398.61089205112,
4320,4305485.72522554,-170456.10603304,-5669498.87120311,4872.64102335919,4955.98944050341,2782.22735091095,
4380,4589167.73080588,127044.376411441,-5491472.85203381,4581.05935592081,4957.43915235474,3149.0994411027,
4440,4854944.69771235,424052.080422196,-5291960.87106681,4276.06903101341,4939.66491115686,3498.27925889664,
4500,5102059.01513796,719432.286642355,-5072049.60676228,3959.22736558896,4903.29803770012,3828.94987429224,
4560,5329845.3127416,1012089.39344016,-4832871.03367251,3632.05070916847,4849.00961962455,4140.41690082533,
4620,5537727.83613747,1300969.0375632,-4575595.3360203,3296.00918576554,4777.50180688351,4432.09953991405,
4680,5725217.56023596,1585059.72331413,-4301424.3666386,2952.52318350907,4689.50021104687,4703.52148485628,
4740,5891909.13059255,1863394.03213279,-4011585.63938901,2602.96101278049,4585.7474510929,4954.30226883659,
4800,6037477.68870376,2135049.46839337,-3707326.82923658,2248.6373738937,4466.99744552621,5184.14895860804,
4860,6161675.62929613,2399148.98354171,-3389910.76299113,1890.81261303924,4334.0103997861,5392.84810465473,
4920,6264329.33603142,2654861.22011563,-3060610.88552379,1530.69275248665,4187.54848377899,5580.2579492419,
4980,6345335.94159999,2901400.51766851,-2720707.18296438,1169.43025055894,4028.37221609656,5746.301007404,
5040,6404660.15227374,3138026.72255633,-2371482.53783694,808.125378925216,3857.23754530557,5890.9571007573,
5100,6442331.17065901,3364044.84369954,-2014219.48519625,447.828078876103,3674.89361858932,6014.25698086931,
5160,6458439.73857255,3578804.59084366,-1650197.33304176,89.5400928322572,3482.0810667069,6116.27654193684,
5220,6453135.3156214,3781699.82320472,-1280689.61488941,-265.7826425474,3279.53073456095,6197.13153439401,
5280,6426623.40828552,3972167.93545055,-906961.843944535,-617.22738487023,3067.96285621851,6256.97280208987,
5340,6379163.0606479,4149689.20651271,-530269.536962407,-963.9218196037,2848.08663528507,6295.98205804203,
5400,6311064.51370716,4313786.13438099,-151856.475057234,-1305.0312243748,2620.60018566422,6314.3682090749,
5460,6222687.03488403,4464022.77588687,227046.830372642,-1639.75563447535,2386.19074180018,6312.36417990344,
5520,6114436.91810698,4600004.10601325,605224.494451327,-1967.32698567581,2145.53510373239,6290.22417911107,
5580,5986765.65547495,4721375.4118314,981476.465714588,-2287.00627075249,1899.30034658283,6248.2214439968,
5640,5840168.2760782,4827821.73582845,1354619.61207685,-2598.08082461855,1648.14474189142,6186.64645248341,
5700,5675181.84339949,4919067.37874037,1723488.71118518,-2899.8617420366,1392.71881184367,6105.80550991709,
5760,5492384.10578478,4994875.46943821,2086937.36621555,-3191.68134636599,1133.66651712386,6006.01968371673,
5820,5292392.29742103,5055047.6110325,2443838.87015581,-3472.89071968031,871.626609400719,5887.62416725367,
5880,5075862.08239064,5099423.61196418,2793087.04587088,-3742.85742602778,607.234096747249,5750.96809947045,
5940,4843486.62748303,5127881.30635111,3133597.08638201,-4000.96349390308,341.121745744983,5596.41472936023,
6000,4595995.78987521,5140336.46534906,3464306.41282571,-4246.6035880503,73.9216195265654,5424.34183801435,
6060,4334155.41054669,5136742.80287472,3784175.56651566,-4479.18331426821,-193.733312108976,5235.14246948706,
6120,4058766.70408221,5117092.07967954,4092189.15598034,-4698.11771639287,-461.207513663236,5029.22603423676,
6180,3770665.73123454,5081414.30715872,4387356.88068911,-4902.83002451874,-727.861222971187,4807.01975322077,
6240,3470722.93876639,5029778.05057703,4668714.65081938,-5092.75066691177,-993.04879937332,4568.97041484209,
