tSec,x,y,z,vx,vy,vz,
0,-1049836.53140614,-4275236.47811528,-6337381.51549226,5944.44654618582,2819.96862017239,-2885.42106463156,
60,-691720.177447133,-4099469.56652087,-6500527.31409743,5989.66536870564,3037.40164119768,-2551.36651635899,
120,-331449.842735004,-3910938.11673488,-6643387.2885703,6016.22832147968,3245.34387733585,-2209.40229621124,
180,29852.5285515599,-3710230.9553338,-6765518.64724162,6024.05855649163,3443.15446124097,-1860.59162197162,
240,391062.100921027,-3497974.42275183,-6866543.00682035,6013.13654402103,3630.2240846596,-1506.01768705773,
300,751054.58512967,-3274830.42928604,-6946147.49453501,5983.49999770377,3805.97666242849,-1146.78044635203,
360,1108709.66717219,-3041494.41399841,-7004085.65750113,5935.24366856691,3969.87091498171,-783.993406245277,
420,1462914.42140646,-2798693.20982727,-7040178.17929807,5868.51901656633,4121.40191236762,-418.780401786932,
480,1812566.69916623,-2547182.8176838,-7054313.40155082,5783.53371673608,4260.10255809805,-52.272313187793,
540,2156578.48233444,-2287746.09503828,-7046447.64709608,5680.55098854999,4385.5449414374,314.396249814,
600,2493879.19288847,-2021190.367937,-7016605.34502341,5559.88881169325,4497.34154831499,680.090235438933,
660,2823418.95254178,-1748344.97277391,-6964878.95834379,5421.91903541631,4595.1463982647,1043.67745278218,
720,3144171.78355521,-1470058.73244585,-6891428.71231874,5267.06629816257,4678.65608220787,1404.03190493212,
780,3455138.73914968,-1187197.37476541,-6796482.1238835,5095.80677588576,4747.61064761905,1760.03707380724,
840,3755350.95590344,-900640.901700292,-6680333.33613778,4908.66684202451,4801.79436150368,2110.58913868348,
900,4043872.6234289,-611280.915484317,-6543342.26057438,4706.22164503616,4841.03638675705,2454.60017330778,
960,4319803.86534848,-320017.906914244,-6385933.52752289,4489.09356952342,4865.21136278265,2791.00134131106,
1020,4582283.52406428,-27758.5120634601,-6208595.24520093,4257.95056820848,4874.23987750759,3118.74607790315,
1080,4830491.8415793,264587.256235317,-6011877.56852382,4013.50436419775,4868.08883819512,3436.81324946663,
1140,5063653.02829462,556108.796266209,-5796391.07894718,3756.50851150458,4846.77174531538,3744.21029339786,
1200,5281037.71063371,845897.718542925,-5562804.9765061,3487.7562911921,4810.34885583692,4039.97633706011,
1260,5481965.24696116,1133050.65258823,-5311845.08581873,3208.07842349035,4758.92720198944,4323.18527363509,
1320,5665805.9008794,1416672.04955632,-5044291.68008317,2918.34060734755,4692.66042977898,4592.94874269798,
1380,5831982.86307104,1695876.96962487,-4760977.1306232,2619.44094588327,4611.74845806473,4848.41895706954,
1440,5979974.11737418,1969793.84505366,-4462783.39168804,2312.3073396229,4516.43702367947,5088.79137823393,
1500,6109314.14965527,2237567.21434424,-4150639.32639683,1997.89483615007,4407.01717305366,5313.30736056126,
1560,6219595.49275455,2498360.42249728,-3825517.87301184,1677.18279390016,4283.82461653107,5521.25681748946,
1620,6310470.09451275,2751358.27565571,-3488433.05425891,1351.17183528036,4147.2388511797,5711.98075728449,
1680,6381650.49957584,2995769.63732132,-3140436.84119609,1020.88070420521,3997.68210585662,5884.87359651662,
1740,6432910.84132688,3230829.9577057,-2782615.88354426,687.343077386437,3835.61817028456,6039.38531341677,
1800,6464087.63987007,3455803.72881387,-2416088.11391844,351.604275011871,3661.55107916673,6175.02349795325,
1860,6475080.39834304,3669986.85453746,-2041999.23353475,14.7178303203831,3476.02358849798,6291.35523327268,
1920,6465851.99076548,3872708.92317879,-1661519.09272877,-322.258010591921,3279.61545773945,6388.0087114889,
1980,6436428.84013448,4063335.37310263,-1275837.9823962,-658.263773709119,3072.94161764995,6464.67460139636,
2040,6386900.88731342,4241269.5457659,-886162.848309267,-992.242263455917,2856.65023925484,6521.10726220087,
2100,6317421.34646197,4405954.61769256,-493713.437869579,-1323.14217372649,2631.42061549365,6557.12575685596,
2160,6228206.2425802,4556875.39912611,-99718.3957221398,-1649.92171351393,2397.96084618604,6572.6145320948,
2220,6119533.73421338,4693559.98995703,294588.671396878,-1971.55213332315,2157.00541015427,6567.52377324984,
2280,5991743.22814378,4815581.28855127,687973.142984531,-2287.02113460669,1909.31269841537,6541.86950300872,
2340,5845234.29205811,4922558.35160895,1079203.33349207,-2595.33620613024,1655.66250545192,6495.73350300504,
2400,5680465.36794459,5014157.60053424,1467054.43046479,-2895.52792818345,1396.85341547646,6429.26302305016,
2460,5497952.28961298,5090093.86823512,1850312.40683302,-3186.65318297271,1133.70011049794,6342.67020911944,
2520,5298266.61170563,5150131.28386029,2227777.89167971,-3467.79823098283,867.030664031652,6236.2313060726,
2580,5082033.75706601,5194083.99424604,2598269.98771794,-3738.08169630826,597.683794916974,6110.28567514582,
2640,4849930.98751016,5221816.7183513,2960630.02297263,-3996.65746120093,326.506046059259,5965.23457209135,
2700,4602685.20505957,5233245.13082199,3313725.22076375,-4242.71741150733,54.3489199789784,5801.53964386828,
2760,4341070.59445042,5228336.07407941,3656452.27151381,-4475.49397532076,-217.933961675796,5619.72116981835,
2820,4065906.11988459,5207107.60185831,3987740.79329344,-4694.26244695862,-489.489634240033,5420.35612486312,
2880,3778052.88786185,5169628.85790986,4306556.67220818,-4898.34313400392,-759.468512065755,5204.07611372293,
2940,3478411.3856264,5116019.79256645,4611905.27489159,-5087.10335977687,-1027.02707275478,4971.56516966583,
3000,3167918.60371092,5046450.71923426,4902834.52415017,-5259.95932002818,-1291.33050816019,4723.55738945459,
3060,2847545.05248099,4961141.71322255,5178437.82747736,-5416.37775124358,-1551.55532305259,4460.83439775951,
3120,2518291.68506305,4860361.85707984,5437856.84948976,-5555.87738324588,-1806.89184958679,4184.22269187579,
3180,2181186.73894235,4744428.33757759,5680284.12299964,-5678.03020612515,-2056.54668286606,3894.59092350542,
3240,1837282.50594495,4613705.39797414,5904965.49502354,-5782.46259381489,-2299.74507481224,3592.84710580688,
