scenario,config,est,mode,n_seeds,n_converged,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,rigid_dev_mean,dv_err_mean,dv_err_std,t_star_mean,t_star_std,t_star_rms,t_star_abs_mean,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
arc0.25,RIC0,FGO,FGO-G,200,200.0,102.32767639615466,65.53441575219686,0.01303813287431411,0.006112480830310563,3.5847711270599394,2.8021761844876156,5.415,5.0,15.0,0.0062292810441224415,0.02077026990851002,0.012368186237508036,8.819418532157416,125.97350748640226,125.96729777497758,103.83953294835021,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,BLS,BLS-G,200,200.0,102.32742989053341,65.53464753297678,0.01303815186267304,0.006112506387717937,2.1946630205798647,0.5492582692834023,3.91,4.0,5.0,,0.020770189674023873,0.012368124461188498,8.818332399342507,125.97380345629198,125.96751624035282,103.8395883874573,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0,EKF,EKF-G,200,,329.94398220991,93.20373226011884,0.28406297079219006,0.108695445130658,0.5017989176547417,0.10344009249825767,,,,,0.025148511332052852,0.01491009004949683,4.658149860714757,134.04318049211506,133.78876905549436,109.23224667886232,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0.5,FGO,FGO-G,200,200.0,107.5880283713555,67.28832236191928,0.0368661510227962,0.00648649923354538,12.526480990635209,13.525602552323734,15.05,10.0,80.0,0.0059265703009828054,0.024288940971713094,0.014740046563436861,-2.2055960688922096,44.50455551986294,44.447911522697815,35.99815703125579,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0.5,BLS,BLS-G,200,200.0,107.58803244308761,67.28845371173736,0.03686619875360831,0.006486635213941139,2.2423098999400097,0.5640743749390579,3.95,4.0,6.0,,0.02428910414199581,0.014739968331284726,-2.205546141058021,44.50476460195624,44.44811734702039,35.998409535097124,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.25,RIC0.5,EKF,EKF-G,200,,335.4543619303941,92.60161662472504,0.2898599446463996,0.1069671023459533,0.4950759646951701,0.09960631248820014,,,,,0.06999795838200183,0.042499811458626614,-5.368229183044723,56.748476975985454,56.860404285057406,46.283252361063866,360,1.0,0.0005219961095682365,1.7408899905229805e-05,0.0003660661117623102,1.209554977241171e-05,0.000180335534042419,6.007659365306788e-06
arc0.50,RIC0,FGO,FGO-G,200,200.0,30.491437979148092,14.506031972864744,0.003452382091680803,0.0016006115161749847,7.268597970420451,6.317866011000851,5.125,5.0,14.0,0.0763130318391528,0.0069019907404484875,0.004209537170203526,2.229544846017343,131.10938397775064,130.8002029219012,104.24841390261444,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc0.50,RIC0,BLS,BLS-G,200,200.0,30.490141341338685,14.502746027500159,0.0034522071372729618,0.0016002999563420705,4.559414813384865,1.108678109300478,4.035,4.0,5.0,,0.006901091525800838,0.004208144947418562,2.2303626802771395,131.10963791387684,130.80047012845145,104.24896809838792,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc0.50,RIC0,EKF,EKF-G,200,,248.0673611302059,63.6584606623082,0.20424270651151807,0.07596201370218945,1.000172278595055,0.21381877620340511,,,,,0.012750682359600361,0.011199934674851494,-2.8392132412167848,141.05347470899014,140.7290426517264,112.3440216070817,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc0.50,RIC0.5,FGO,FGO-G,200,200.0,33.036044956594694,14.652444958713803,0.022617018864423404,0.0030075557611143897,13.709725255449994,15.253248377228486,9.14,7.5,66.0,0.07211870782033064,0.007871698771178395,0.0046486619087179265,0.48225039137265413,30.286930298202666,30.214966847470226,24.046546955447194,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc0.50,RIC0.5,BLS,BLS-G,200,200.0,33.03520391877143,14.650464939526115,0.02261696308246479,0.0030075124494147523,4.675714348954607,1.2129294631353995,4.12,4.0,5.0,,0.007871171006687126,0.004647800825323133,0.4831424576820973,30.28750008274309,30.215549384220488,24.04751186796324,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc0.50,RIC0.5,EKF,EKF-G,200,,252.01460536701737,64.3848495022665,0.20844129009861198,0.07494103799536227,1.0015162287501154,0.21463413319663574,,,,,0.07312008739561479,0.056307446585374066,-9.889423535617825,47.72142400422936,48.61839503020757,37.2185545031809,720,1.0678557659660575,0.0005221081787856491,1.7412587407657948e-05,0.00036624783902700943,1.2101590153895853e-05,0.00021679113088637274,7.226349666599261e-06
arc1.00,RIC0,FGO,FGO-G,200,200.0,13.26560979844503,2.8249379597741475,0.0012497526088713227,0.0002647781094714669,17.186086570024926,16.943948729596546,6.0,5.0,30.0,1.783363408833385,0.0023543500118003652,0.0008927520148385097,-10.005476713961798,125.39007594887512,125.47576401443419,101.36689852941662,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.00,RIC0,BLS,BLS-G,200,200.0,13.369162575995265,2.8221943478416613,0.0012664416609771073,0.00026693099278501584,10.217347868250071,3.020335003544962,4.545,4.0,8.0,,0.0023968132359601492,0.0009063275322687928,-9.947773836700907,125.39656556327583,125.47762894674,101.37899230511005,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.00,RIC0,EKF,EKF-G,200,,171.70294914314184,40.66771806817849,0.14467897056320106,0.05897788060301672,1.98481077777491,0.4344705059365813,,,,,0.0130296699130411,0.01726700831947283,-10.960662068325073,141.80873023925454,141.87777664308578,113.11311643150734,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.00,RIC0.5,FGO,FGO-G,200,200.0,13.812600486242436,2.935072555862943,0.015695405485673674,0.0014622365187182205,36.52033439844501,53.39358817534045,12.295,8.0,141.0,1.5917855572673503,0.0025917038498511646,0.0010916213852753135,-5.544731846866416,18.313258254305083,19.090379828675054,15.229477334853437,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.00,RIC0.5,BLS,BLS-G,200,200.0,13.880201342901382,2.9301739151529964,0.015716608520151287,0.001470172258880439,8.161198437555067,2.030739434515808,4.465,4.0,7.0,,0.0026271024847025998,0.0011036519953876271,-5.8257440491406305,18.2970683160176,19.158499135952887,15.258300331628561,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.00,RIC0.5,EKF,EKF-G,200,,175.1848296831063,40.61892598700861,0.14764519255901942,0.058513728929622505,1.6795824031001758,0.3571059268102011,,,,,0.0964271538161093,0.08871156970282357,-20.994252865648342,39.176819903912374,44.36110633292919,32.67503474021938,1440,1.0678798176953066,0.0005222392962251957,1.7416982274062992e-05,0.00036614248654989355,1.2098093713941184e-05,0.00021681070745951966,7.227003144214681e-06
arc1.25,RIC0,FGO,FGO-G,200,200.0,13.912797523723286,2.119028737713442,0.001279650405625677,0.00020160619361294207,17.5231879780101,20.86835702130546,6.11,5.0,49.0,11.169206973096511,0.002453888538547482,0.0006354334967092858,-11.0676789582703,122.71316730977874,122.90533894654496,95.53569171209897,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
arc1.25,RIC0,BLS,BLS-G,200,200.0,15.271356508371596,1.8867202508800032,0.0014392546668090759,0.000182353950364283,11.360489475130052,5.324835524727116,4.795,5.0,14.0,,0.0028381155655561696,0.0006337348593474909,-10.0365215083188,122.82197949719479,122.92495360323808,95.51740663818488,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
