scenario,config,est,mode,seed,pos_rms,vel_rms,dv_err_norm,t_star_error,rigid_dev,n_iters,converged,runtime_s,wall_s,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
lunisolar,RIC0,FGO,FGO-B,14,114.64231708063365,0.014478559050166886,,,2825.060311437967,4.0,True,4.048113389002538,4.253136737999739,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,13,146.59313562436142,0.01781946391255214,,,4102.709519298537,4.0,True,4.084974386001704,4.288657563000015,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,6,147.4377028197334,0.016599143566963258,,,4978.610582290016,4.0,True,6.871116269001504,7.194879915001366,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,9,145.93302042284313,0.017683920741982016,,,4206.821175817131,4.0,True,7.154649463998794,7.475908405001974,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,10,123.79594743098367,0.01500810138291139,,,3841.434454071006,3.0,True,7.053103445003217,7.4940403690015955,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,15,130.23666062404007,0.01497491757524055,,,4001.6110352745227,4.0,True,3.9721792999989702,4.171240845000284,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,16,144.18822284274495,0.017289799471383822,,,3936.940076415109,4.0,True,4.169819352002378,4.3656023099974846,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,5,151.94766185386203,0.01806534561337686,,,4994.737537196758,4.0,True,8.339563615998486,8.663889447001566,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,11,136.11423705537723,0.014971833414034151,,,4509.943724551863,4.0,True,8.634475767001277,8.955459612003324,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,8,160.74381330541087,0.019503950307566294,,,6219.75058083437,4.0,True,9.409561115000542,9.8544389100025,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0,FGO,FGO-B,4,160.9960478701085,0.01932759383434424,,,4837.368640004209,4.0,True,9.807054048997088,10.248978638002882,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
