seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,37.297916463350525,31.774082736052623,19.533106224806055,83.22897607692424,0.011457588529844158,0.010341602957122439,0.004932299990516886,0.02772065947082959,5.686600224999893,,,,,,deltaRIC0,FGO-B
2,28.07982485185969,25.752513363981546,11.193061205455328,62.41935706747176,0.008062521279314562,0.007365815975033734,0.0032785674312629247,0.018646534650640676,5.5541857470000195,,,,,,deltaRIC0,FGO-B
3,22.41429944286571,19.40221387830809,11.222963785686867,66.55684696536213,0.0070011724907358295,0.0063472983007640815,0.0029543561948677673,0.01765236244285645,6.087885736999851,,,,,,deltaRIC0,FGO-B
4,20.92943435181323,17.7678197429796,11.061003745946564,48.2663862331191,0.007910059170583636,0.006968879008508783,0.00374215999750143,0.020162448899768863,5.636946549999948,,,,,,deltaRIC0,FGO-B
5,32.90085388948944,30.224769587538862,12.99728779544865,62.377360337987305,0.009614564243846368,0.008928440665621696,0.003566902420801818,0.017901576262152056,8.50568454900008,,,,,,deltaRIC0,FGO-B
6,28.24491915675586,24.934852708936496,13.267576212530923,55.69023990886037,0.007781243335638983,0.007202197987368718,0.0029455206669056107,0.016083108034169475,7.137581175999912,,,,,,deltaRIC0,FGO-B
7,25.878269731896804,22.740606029047353,12.351100426620354,69.28858270217283,0.008729643140046019,0.007929397070113491,0.0036512095882088296,0.016139818050751348,6.375520621000078,,,,,,deltaRIC0,FGO-B
8,20.723798971859782,17.96643495866437,10.328749135405474,74.23623343160853,0.007779096429362532,0.006926455371836672,0.0035409825245651507,0.020585347627289675,5.779373302999829,,,,,,deltaRIC0,FGO-B
9,31.909565042057736,25.9895187315561,18.51392063490085,119.17820689732592,0.00868596544559606,0.007815450273839784,0.0037900834739127342,0.018987675242647165,8.080054578000045,,,,,,deltaRIC0,FGO-B
10,26.14450320592171,22.981147240995327,12.466030618129537,56.528322634486656,0.008579157630670024,0.0077293011905449046,0.003722881781325431,0.018104890347864215,7.302862452999989,,,,,,deltaRIC0,FGO-B
11,31.107395408147323,25.909705335826715,17.21502885531877,68.0747305762195,0.009100021199511565,0.008298580251238268,0.003734160099047456,0.021582888311236073,5.780273630000011,,,,,,deltaRIC0,FGO-B
12,27.085100045652595,24.10163474333446,12.357744421289167,68.35316009903971,0.009795959012924767,0.008678485302895984,0.004543644553694794,0.02111691126052507,7.430815636000034,,,,,,deltaRIC0,FGO-B
13,23.492608686174282,19.99368354809617,12.335123876974238,49.951593013255575,0.007973419157005085,0.007021419223308614,0.0037782383651442527,0.01865465511815597,5.627820532999976,,,,,,deltaRIC0,FGO-B
14,21.431821833131696,18.151276548053023,11.395356368416074,49.358148211506176,0.008166527238799954,0.007517640565040566,0.003190179850246399,0.016158354485353688,5.476991650000173,,,,,,deltaRIC0,FGO-B
15,22.533169723775313,20.27019153333517,9.84190393177924,46.877385283122706,0.006912472863034825,0.00637378533342824,0.0026752834626573574,0.01593665338489565,7.758441694999874,,,,,,deltaRIC0,FGO-B
16,23.750380899832734,21.938115100753855,9.09943397762824,51.34794777205986,0.00864916481495461,0.007809223309145744,0.0037180752149658844,0.019511426366706035,5.457611372000201,,,,,,deltaRIC0,FGO-B
17,32.64044206550702,28.324031695869685,16.22182747791042,92.73115082684427,0.008523011167023293,0.007711096170327245,0.0036305254723205354,0.02393344819418927,6.98585041299998,,,,,,deltaRIC0,FGO-B
18,18.77004426548146,16.64123352695595,8.682390709329471,36.03103704329352,0.007096762121643478,0.006600601573802619,0.0026069314289232856,0.015451582142042479,8.33978252299994,,,,,,deltaRIC0,FGO-B
19,20.880767970745097,17.293701999681,11.701894812137212,55.3232833224974,0.007952761787247284,0.006840798088350619,0.0040558478224804176,0.028925149409980665,5.937514741999848,,,,,,deltaRIC0,FGO-B
20,21.722370660640674,19.738797277339184,9.068697214174145,42.713791393025105,0.00714250164211039,0.006458550690444365,0.0030499922436803403,0.015788910646281844,7.278577487999883,,,,,,deltaRIC0,FGO-B
