config,mode,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,n_converged,rigid_dev_mean,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
deltaC0.2,BLS-B,200,953.8940842182396,0.050548482103007844,0.07127965009716623,9.54057985749405e-05,6.161032548360026,3.6952998272848623,3.56,4.0,13,200,,,,,,,,,
deltaC0.2,BLS-G,200,14.392809788917257,2.2330747271576485,0.004022132971521256,0.0008576957795935827,11.984960387039992,3.0304420764993734,4.675,5.0,8,200,,0.0025995216424890273,0.000736405729440907,-0.0018563986308571725,0.0010665374325501214,0.000946696890864951,-1.512797842724176,56.05294206201387,55.93309583378518
deltaI0.2,BLS-B,200,3668.504161551805,0.24463588015348622,0.2933121098283863,8.032389854296923e-05,9.39465920710004,8.559925595255105,4.22,4.0,13,200,,,,,,,,,
deltaI0.2,BLS-G,200,13.969218414918883,2.345784893321627,0.004774546834709411,0.0013053701385888354,12.57666415955502,6.141448852530918,4.91,5.0,29,200,,0.0035270613639380092,0.0013125747994437353,-0.002913880029588149,0.0010509431584162165,0.0009401248990496424,-48.72496628169585,61.65415294314578,78.46241610741747
deltaRIC0,BLS-B,200,33.50033157509369,0.599982391450041,0.0027895480420312233,9.262174550350274e-05,6.151601833934974,1.8645217668624485,3.72,4.0,4,200,,,,,,,,,
deltaRIC0,BLS-G,200,13.890019499406408,2.183538979475055,0.0013290051357398424,0.00020584276228477108,12.011435339950012,5.33592984321175,4.59,4.0,14,200,,0.0025969634413562015,0.0007401643353031965,-0.0018567754373530474,0.0010668691780624207,0.0009405710082350114,-4.113024844422835,125.94127527817481,125.69334018940852
deltaRIC0.5,BLS-B,200,8154.15722483163,0.3998704663435226,0.6999642299098041,9.153557456714561e-05,10.80996700238503,12.164815174612274,4.33,4.0,13,200,,,,,,,,,
deltaRIC0.5,BLS-G,200,13.52612673054547,2.323421248096264,0.015380776351978194,0.0012850299851763388,12.013058597765157,6.484032732899416,4.49,4.0,13,200,,0.0029055087933899737,0.0009045699693478659,-0.002378421046077612,0.0007536008503078845,0.0009181625475296598,-16.054766380187466,14.935831739753906,21.9024929615751
deltaRIC1,BLS-B,200,16281.935554296837,0.40544730381286764,1.3974373368714514,9.234944784578996e-05,11.564959966315028,11.614324688107425,4.52,4.0,13,200,,,,,,,,,
deltaRIC1,BLS-G,200,13.643021210919056,2.3019532358648482,0.0291450737924419,0.0011607943918899228,10.815336310570093,2.3545832331681247,4.2,4.0,5,200,,0.002926240387876265,0.0009025651042180132,-0.00239004459965521,0.0007726340680545856,0.000932114948434431,-7.990878339777046,7.545795453416503,10.977635014919885
