seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
1,929.5963910793224,823.1328152858192,431.9743264446878,1509.4819226834074,0.06991659531767053,0.0634969400563037,0.02926548998908242,0.11201779439864516,4.667849621999267,4,True,86.21738097758686,,,,,,deltaC0.2,FGO-B
2,929.9508851724073,824.2647329175012,430.57670501477935,1505.3326837210595,0.06991794708371894,0.0635148480283481,0.029229837569469435,0.11168354282608041,4.55987683100102,4,True,81.0593962559539,,,,,,deltaC0.2,FGO-B
3,929.7648076953354,823.543590334086,431.5536495598053,1502.3609094070882,0.07012544055112395,0.06372548662118421,0.029268409034016354,0.11147841041907557,7.065365418999136,4,True,69.93806920177177,,,,,,deltaC0.2,FGO-B
4,929.9154272382486,823.8046106956639,431.3799545786291,1502.5348474409232,0.07011404118119598,0.06372281920905365,0.02924689868701825,0.11148319933212635,14.717000906000976,4,True,76.39478812078794,,,,,,deltaC0.2,FGO-B
5,929.7824252762399,823.8948960055818,430.92059441214724,1499.0687638583706,0.07012777009526186,0.06373633389195227,0.02925036547716081,0.11122784731512105,7.2957461219994,4,True,78.19126739184469,,,,,,deltaC0.2,FGO-B
6,929.837076584467,822.695330474195,433.32364602811964,1509.6888756655583,0.07009007820469039,0.06366582233276878,0.029313514450368058,0.11199710357113538,7.324085105001359,4,True,83.48832392948374,,,,,,deltaC0.2,FGO-B
7,929.8429291432516,824.057108914785,430.7409362072616,1503.974743692125,0.0699466515819832,0.06354482826538853,0.029233351984567772,0.11159187263473516,10.407819574000314,4,True,97.08834291506153,,,,,,deltaC0.2,FGO-B
8,929.8840437525786,823.8184653807702,431.2858343643112,1504.5297602078008,0.06999444963499983,0.06359341238481739,0.029242108011582932,0.11162261110182865,5.641286833999402,4,True,95.53468528116683,,,,,,deltaC0.2,FGO-B
9,929.9007135490202,824.4935806412165,430.029850755041,1497.719751475298,0.07005295177207896,0.06366593014607302,0.029224397181406046,0.11112480741317776,4.298140402999707,4,True,90.79829085625875,,,,,,deltaC0.2,FGO-B
10,929.894248487394,824.2367842905875,430.507882381086,1500.625476055523,0.07003954891479434,0.06364652587662069,0.029234537041392037,0.11132898733471132,7.574115507999522,4,True,87.12553616142645,,,,,,deltaC0.2,FGO-B
11,929.8486245258048,822.275979250225,434.1436150407081,1520.0250847159427,0.06988610974450736,0.06342844936890442,0.029341099943213697,0.11276497761189308,7.077359109000099,4,True,88.10004701874176,,,,,,deltaC0.2,FGO-B
12,929.7722170810955,823.7832026108653,431.112062870064,1502.629307494512,0.07009291354229528,0.06370004506835257,0.02924586786432458,0.11150892025237975,10.1165478719995,4,True,73.5391794926384,,,,,,deltaC0.2,FGO-B
13,929.9162195713922,824.8577556778713,429.36448190321346,1494.1040519369087,0.07011028291909355,0.06374459754265814,0.029190376070203052,0.11085989949147708,7.0190218160005315,4,True,84.72110447869211,,,,,,deltaC0.2,FGO-B
14,929.7540818648484,824.002926355633,430.65279530231794,1497.5643650797413,0.070154166469941,0.06376801950832332,0.029244602255429845,0.11113264953977608,7.260190214999966,4,True,85.90917368871409,,,,,,deltaC0.2,FGO-B
15,929.763971593983,822.7400822794084,433.081747346952,1513.5826351340525,0.06993287260212115,0.06349460660130048,0.029309411507749475,0.11230251266268575,4.457045446000848,4,True,85.19144090503985,,,,,,deltaC0.2,FGO-B
16,929.6392114701669,824.1412188789677,430.13987823446786,1496.5859416054802,0.07009083929517396,0.06370712396371404,0.029225470216471677,0.11106784874577613,4.415764602001218,4,True,78.30145215218812,,,,,,deltaC0.2,FGO-B
17,929.6793096249138,823.3212344518175,431.7936586442552,1506.6749189856862,0.06998735199812493,0.0635760442532041,0.029262878136370598,0.11179777658527035,9.649116446000335,4,True,82.57987866427972,,,,,,deltaC0.2,FGO-B
18,930.0631663602827,824.3999078759942,430.5604316633928,1494.5646385175264,0.07029655366980525,0.06393157178319746,0.02922943015492571,0.11089656478843875,10.087342352999258,4,True,82.2542569036516,,,,,,deltaC0.2,FGO-B
19,929.695097495435,823.8391399967214,430.8387699784096,1503.6563276697555,0.06996413542312953,0.06355840715090992,0.029245668498859245,0.11157219892412787,10.036061582000912,4,True,75.048456846876,,,,,,deltaC0.2,FGO-B
